,A,b,size,mean_nonzero,iters_cpu,ns_cpu,iters_gpu,ns_gpu,speedup
0,../data/0007102_Kuu_A.mtx,,7102,24,10000,237600423,10000,403114048,0.5894124111497102
1,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2008802872,10000,955329911,2.1027321021460197
2,../data/0062451_cant_A.mtx,,62451,32,10000,1828134243,10000,1019255182,1.7935981835410477
3,../data/0083334_consph_A.mtx,,83334,36,10000,3053990902,10000,1287613532,2.3718226207644424
4,../data/0115967_torso2_A.mtx,,115967,8,10000,1221028215,10000,874428575,1.396372728327182
5,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,18514586734,10000,2564706169,7.218989433483131
6,../data/0217918_pwtk_A.mtx,,217918,27,10000,13700019748,10000,2328996324,5.882370704849597
7,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,24907126526,10000,3270758448,7.615092010610011
8,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,31706578901,10000,4431879248,7.154206404722875
9,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,31812791200,10000,4002325245,7.948577202650606
10,../data/3428755_Freescale1_A.mtx,,3428755,5,10000,117896285630,10000,14441863316,8.163509309729019
