,A,b,size,mean_nonzero,iters,ns
0,../data/0007102_Kuu_A.mtx,,7102,24,10000,541851420
1,../data/0036000_nd12k_A.mtx,,36000,198,10000,9774345630
2,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2634117951
3,../data/0062451_cant_A.mtx,,62451,32,10000,2384619483
4,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,743762546
5,../data/0083334_consph_A.mtx,,83334,36,10000,4018272830
6,../data/0115967_torso2_A.mtx,,115967,8,10000,1247710928
7,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7547501377
8,../data/0217918_pwtk_A.mtx,,217918,27,10000,5754783717
9,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,8347261547
10,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,6613796897
11,../data/0952203_ldoor_A.mtx,,952203,24,10000,20810229209
12,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4624199017
13,../data/0007102_Kuu_A.mtx,,7102,24,10000,633509720
14,../data/0036000_nd12k_A.mtx,,36000,198,10000,9750163422
15,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2577157408
16,../data/0062451_cant_A.mtx,,62451,32,10000,2477545324
17,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,754038421
18,../data/0083334_consph_A.mtx,,83334,36,10000,4040872179
19,../data/0115967_torso2_A.mtx,,115967,8,10000,1244996388
20,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7781589280
21,../data/0217918_pwtk_A.mtx,,217918,27,10000,5853313369
22,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,8506720188
23,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,6800842167
24,../data/0952203_ldoor_A.mtx,,952203,24,10000,21844994907
25,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4606835657
26,../data/0007102_Kuu_A.mtx,,7102,24,10000,628499682
27,../data/0036000_nd12k_A.mtx,,36000,198,10000,9832068655
28,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2560132921
29,../data/0062451_cant_A.mtx,,62451,32,10000,2481629609
30,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,759419934
31,../data/0083334_consph_A.mtx,,83334,36,10000,4022778241
32,../data/0115967_torso2_A.mtx,,115967,8,10000,1251558704
33,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7752058028
34,../data/0217918_pwtk_A.mtx,,217918,27,10000,5836393480
35,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,8488922331
36,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,6795382718
37,../data/0952203_ldoor_A.mtx,,952203,24,10000,21840815019
38,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4569251459
39,../data/0007102_Kuu_A.mtx,,7102,24,10000,620684298
40,../data/0036000_nd12k_A.mtx,,36000,198,10000,9827177367
41,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2581821286
42,../data/0062451_cant_A.mtx,,62451,32,10000,2478309493
43,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,739117038
44,../data/0083334_consph_A.mtx,,83334,36,10000,4015134813
45,../data/0115967_torso2_A.mtx,,115967,8,10000,1257325876
46,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7062552483
47,../data/0217918_pwtk_A.mtx,,217918,27,10000,4994580786
48,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,7280024895
49,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,6581021636
50,../data/0952203_ldoor_A.mtx,,952203,24,10000,21914621235
51,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4590470280
52,../data/0007102_Kuu_A.mtx,,7102,24,10000,615867195
53,../data/0036000_nd12k_A.mtx,,36000,198,10000,9789678647
54,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2565751842
55,../data/0062451_cant_A.mtx,,62451,32,10000,2465762818
56,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,745779723
57,../data/0083334_consph_A.mtx,,83334,36,10000,4029438552
58,../data/0115967_torso2_A.mtx,,115967,8,10000,1245258406
59,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7723172793
60,../data/0217918_pwtk_A.mtx,,217918,27,10000,5831834400
61,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,8467348268
62,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,6769602328
63,../data/0952203_ldoor_A.mtx,,952203,24,10000,21800586291
64,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4627066175
65,../data/0007102_Kuu_A.mtx,,7102,24,10000,626002199
66,../data/0036000_nd12k_A.mtx,,36000,198,10000,9806175872
67,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2665752580
68,../data/0062451_cant_A.mtx,,62451,32,10000,2579025742
69,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,822258280
70,../data/0083334_consph_A.mtx,,83334,36,10000,4041257714
71,../data/0115967_torso2_A.mtx,,115967,8,10000,1244351992
72,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7747106353
73,../data/0217918_pwtk_A.mtx,,217918,27,10000,5828158142
74,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,8448908325
75,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,6783668552
76,../data/0952203_ldoor_A.mtx,,952203,24,10000,21600351316
77,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4059518176
78,../data/0007102_Kuu_A.mtx,,7102,24,10000,524304435
79,../data/0036000_nd12k_A.mtx,,36000,198,10000,8509172085
80,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2201831522
81,../data/0062451_cant_A.mtx,,62451,32,10000,2092785889
82,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,608608867
83,../data/0083334_consph_A.mtx,,83334,36,10000,3496935074
84,../data/0115967_torso2_A.mtx,,115967,8,10000,1115727049
85,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,6843531786
86,../data/0217918_pwtk_A.mtx,,217918,27,10000,5096184707
87,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,7512615428
88,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,5994793324
89,../data/0952203_ldoor_A.mtx,,952203,24,10000,19140984700
90,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4143538614
91,../data/0007102_Kuu_A.mtx,,7102,24,10000,567824083
92,../data/0036000_nd12k_A.mtx,,36000,198,10000,10049762424
93,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2584927785
94,../data/0062451_cant_A.mtx,,62451,32,10000,2497470092
95,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,775350412
96,../data/0083334_consph_A.mtx,,83334,36,10000,4086529482
97,../data/0115967_torso2_A.mtx,,115967,8,10000,1267291757
98,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,7870991882
99,../data/0217918_pwtk_A.mtx,,217918,27,10000,5238013775
100,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,7582974795
101,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,5983993710
102,../data/0952203_ldoor_A.mtx,,952203,24,10000,19059794990
103,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,3930812339
104,../data/0007102_Kuu_A.mtx,,7102,24,10000,515515936
105,../data/0036000_nd12k_A.mtx,,36000,198,10000,8481019689
106,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2155528343
107,../data/0062451_cant_A.mtx,,62451,32,10000,2092061677
108,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,665871220
109,../data/0083334_consph_A.mtx,,83334,36,10000,3434732186
110,../data/0115967_torso2_A.mtx,,115967,8,10000,1053366177
111,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,6779626495
112,../data/0217918_pwtk_A.mtx,,217918,27,10000,5049260708
113,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,7378546697
114,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,5933675975
115,../data/0952203_ldoor_A.mtx,,952203,24,10000,19349613185
116,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,3925845240
117,../data/0007102_Kuu_A.mtx,,7102,24,10000,564763913
118,../data/0036000_nd12k_A.mtx,,36000,198,10000,8608152320
119,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2149801727
120,../data/0062451_cant_A.mtx,,62451,32,10000,2104986747
121,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,643621194
122,../data/0083334_consph_A.mtx,,83334,36,10000,3433046790
123,../data/0115967_torso2_A.mtx,,115967,8,10000,1052146976
124,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,6780701893
125,../data/0217918_pwtk_A.mtx,,217918,27,10000,5054754320
126,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,7434825881
127,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,5957846124
128,../data/0952203_ldoor_A.mtx,,952203,24,10000,19465524345
129,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4031921575
