,A,b,size,mean_nonzero,iters_cpu,ns_cpu,iters_gpu,ns_gpu,speedup
0,../data/0007102_Kuu_A.mtx,,7102,24,10000,245579910,10000,412414782,0.5954682536088146
1,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2095842563,10000,954626881,2.195457308728351
2,../data/0062451_cant_A.mtx,,62451,32,10000,1852304073,10000,1003260085,1.8462850268781499
3,../data/0083334_consph_A.mtx,,83334,36,10000,3171238435,10000,1277969748,2.481465965812518
4,../data/0115967_torso2_A.mtx,,115967,8,10000,1242621829,10000,1176489646,1.0562114449751816
5,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,19095292994,10000,2565460452,7.443222513570051
6,../data/0217918_pwtk_A.mtx,,217918,27,10000,15034251434,10000,2384393913,6.305271688554256
7,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,26209277615,10000,3279858978,7.990976987364851
8,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,35150365807,10000,4374184083,8.035867979038596
9,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,21631490874,10000,9509140776,2.274810246641363
10,../data/3428755_Freescale1_A.mtx,,3428755,5,10000,113033468813,10000,27023201348,4.182830426246507
