,A,b,size,iters_cpu,ns_cpu,iters_gpu,ns_gpu,speedup
0,../data/0000027_ex5_A.mtx,../data/0000027_ex5_b.npy,27,10000,65575851,10000,290393850,0.22581694137117572
1,../data/0001050_msc01050_A.mtx,../data/0001050_msc01050_b.npy,1050,10000,95475995,10000,268076476,0.3561520817663986
2,../data/0003562_bcsstk24_A.mtx,../data/0003562_bcsstk24_b.npy,3562,10000,177111912,10000,355034539,0.49885825897068564
3,../data/0009000_nd3k_A.mtx,../data/0009000_nd3k_b.npy,9000,10000,3043095049,10000,765169896,3.9770187835513067
4,../data/0010848_msc10848_A.mtx,../data/0010848_msc10848_b.npy,10848,10000,1051283281,10000,502230894,2.0932270267706787
5,../data/0020360_t3dl_e_A.mtx,../data/0020360_t3dl_e_b.npy,20360,262,15681198,264,57146857,0.27440175756297497
6,../data/0050000_cvxbqp1_A.mtx,../data/0050000_cvxbqp1_b.npy,50000,10000,469438098,10000,613472461,0.7652146230570568
7,../data/0081920_shallow_water2_A.mtx,../data/0081920_shallow_water2_b.npy,81920,10000,567675290,10000,848667241,0.6689020885631192
8,../data/0102158_thermomech_TC_A.mtx,../data/0102158_thermomech_TC_b.npy,102158,10000,1308260749,10000,1250266281,1.0463856930970052
9,../data/0204316_thermomech_dM_A.mtx,../data/0204316_thermomech_dM_b.npy,204316,10000,2946602395,10000,1793377227,1.643046622114824
10,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,10000,39129470111,10000,4551388007,8.597260890703929
11,../data/1223512_thermal2_A.mtx,../data/1223512_thermal2_b.mtx,1223512,10000,25552636632,10000,9630404894,2.6533294200246944
12,../data/2911419_Bump_2911_A.mtx,../data/2911419_Bump_2911_b.npy,2911419,10000,264408559168,10000,26549575334,9.959050411981252
13,../data/4147110_Queen_4147_A.mtx,../data/4147110_Queen_4147_b.npy,4147110,10000,609133306658,10000,54405764583,11.196117016768
