,A,b,size,mean_nonzero,iters,ns
0,../data/0007102_Kuu_A.mtx,,7102,24,10000,453883500
1,../data/0036000_nd12k_A.mtx,,36000,198,10000,2183561223
2,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1126231266
3,../data/0062451_cant_A.mtx,,62451,32,10000,1295675070
4,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,613648601
5,../data/0083334_consph_A.mtx,,83334,36,10000,1482951083
6,../data/0115967_torso2_A.mtx,,115967,8,10000,1206219321
7,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,3337981301
8,../data/0217918_pwtk_A.mtx,,217918,27,10000,3041215757
9,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,4072085189
10,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4824909679
11,../data/0952203_ldoor_A.mtx,,952203,24,10000,9476974448
12,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,3929874729
13,../data/0007102_Kuu_A.mtx,,7102,24,10000,436343717
14,../data/0036000_nd12k_A.mtx,,36000,198,10000,2105716702
15,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1057179018
16,../data/0062451_cant_A.mtx,,62451,32,10000,1186730041
17,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,608124781
18,../data/0083334_consph_A.mtx,,83334,36,10000,1450515141
19,../data/0115967_torso2_A.mtx,,115967,8,10000,1038680174
20,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,2749531979
21,../data/0217918_pwtk_A.mtx,,217918,27,10000,2510897028
22,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,3445942689
23,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4539944799
24,../data/0952203_ldoor_A.mtx,,952203,24,10000,9460555654
25,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,3945464966
26,../data/0007102_Kuu_A.mtx,,7102,24,10000,433157532
27,../data/0036000_nd12k_A.mtx,,36000,198,10000,2119368253
28,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1041869898
29,../data/0062451_cant_A.mtx,,62451,32,10000,1184397773
30,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,612703981
31,../data/0083334_consph_A.mtx,,83334,36,10000,1452413020
32,../data/0115967_torso2_A.mtx,,115967,8,10000,1043891359
33,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,2754192249
34,../data/0217918_pwtk_A.mtx,,217918,27,10000,2505649131
35,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,3407647240
36,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4526741713
37,../data/0952203_ldoor_A.mtx,,952203,24,10000,9572848718
38,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4672680557
39,../data/0007102_Kuu_A.mtx,,7102,24,10000,528430117
40,../data/0036000_nd12k_A.mtx,,36000,198,10000,2641176366
41,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1279888134
42,../data/0062451_cant_A.mtx,,62451,32,10000,1453546421
43,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,750264044
44,../data/0083334_consph_A.mtx,,83334,36,10000,1755366555
45,../data/0115967_torso2_A.mtx,,115967,8,10000,1276319207
46,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,3288205962
47,../data/0217918_pwtk_A.mtx,,217918,27,10000,3039119575
48,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,4070323966
49,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,5414428320
50,../data/0952203_ldoor_A.mtx,,952203,24,10000,11053686270
51,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4671227305
52,../data/0007102_Kuu_A.mtx,,7102,24,10000,526873023
53,../data/0036000_nd12k_A.mtx,,36000,198,10000,2547803416
54,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1289715324
55,../data/0062451_cant_A.mtx,,62451,32,10000,1461926433
56,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,754737936
57,../data/0083334_consph_A.mtx,,83334,36,10000,1774408238
58,../data/0115967_torso2_A.mtx,,115967,8,10000,1261328317
59,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,3305060518
60,../data/0217918_pwtk_A.mtx,,217918,27,10000,3003138145
61,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,4102146904
62,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,5392270289
63,../data/0952203_ldoor_A.mtx,,952203,24,10000,11055888634
64,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4694703936
65,../data/0007102_Kuu_A.mtx,,7102,24,10000,529217216
66,../data/0036000_nd12k_A.mtx,,36000,198,10000,2577488868
67,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1317104714
68,../data/0062451_cant_A.mtx,,62451,32,10000,1488035532
69,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,766720119
70,../data/0083334_consph_A.mtx,,83334,36,10000,1755411315
71,../data/0115967_torso2_A.mtx,,115967,8,10000,1278666463
72,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,3380624177
