,A,b,size,mean_nonzero,iters,ns
0,../data/0007102_Kuu_A.mtx,,7102,24,10000,303738511
1,../data/0036000_nd12k_A.mtx,,36000,198,10000,16330897949
2,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,2699456515
3,../data/0062451_cant_A.mtx,,62451,32,10000,7908412658
4,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,1381132422
5,../data/0083334_consph_A.mtx,,83334,36,10000,27293344049
6,../data/0115967_torso2_A.mtx,,115967,8,10000,7123500684
7,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,53050668372
8,../data/0217918_pwtk_A.mtx,,217918,27,10000,17951893721
9,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,29308063466
10,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,37813350552
11,../data/0952203_ldoor_A.mtx,,952203,24,10000,98529951129
12,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,25657226094
13,../data/0007102_Kuu_A.mtx,,7102,24,10000,328566919
14,../data/0036000_nd12k_A.mtx,,36000,198,10000,19807913357
15,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,3255684703
16,../data/0062451_cant_A.mtx,,62451,32,10000,2738369123
17,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,607747973
18,../data/0083334_consph_A.mtx,,83334,36,10000,4743843663
19,../data/0115967_torso2_A.mtx,,115967,8,10000,1578590732
20,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,21879151421
21,../data/0217918_pwtk_A.mtx,,217918,27,10000,17877022627
22,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,30065327558
23,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,35744578015
24,../data/0952203_ldoor_A.mtx,,952203,24,10000,93277292952
25,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,26184379218
26,../data/0007102_Kuu_A.mtx,,7102,24,10000,510962304
27,../data/0036000_nd12k_A.mtx,,36000,198,10000,34063614165
28,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,4007332080
29,../data/0062451_cant_A.mtx,,62451,32,10000,3146228823
30,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,638172440
31,../data/0083334_consph_A.mtx,,83334,36,10000,6106655753
32,../data/0115967_torso2_A.mtx,,115967,8,10000,1568855876
33,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,23171639224
34,../data/0217918_pwtk_A.mtx,,217918,27,10000,16909987934
35,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,47454761370
36,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,90786001740
37,../data/0952203_ldoor_A.mtx,,952203,24,10000,189269980837
38,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,76314159753
39,../data/0007102_Kuu_A.mtx,,7102,24,10000,867297164
40,../data/0036000_nd12k_A.mtx,,36000,198,10000,36655260903
41,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,3375045933
42,../data/0062451_cant_A.mtx,,62451,32,10000,3096671182
43,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,604156432
44,../data/0083334_consph_A.mtx,,83334,36,10000,5425155846
45,../data/0115967_torso2_A.mtx,,115967,8,10000,1458851348
46,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,22330971853
47,../data/0217918_pwtk_A.mtx,,217918,27,10000,16887134279
48,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,30118342901
49,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,35911138481
50,../data/0952203_ldoor_A.mtx,,952203,24,10000,101776222227
51,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,25923206642
52,../data/0007102_Kuu_A.mtx,,7102,24,10000,339197794
53,../data/0036000_nd12k_A.mtx,,36000,198,10000,21253440474
54,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,3402576578
55,../data/0062451_cant_A.mtx,,62451,32,10000,3809526723
56,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,575300453
57,../data/0083334_consph_A.mtx,,83334,36,10000,6346296886
58,../data/0115967_torso2_A.mtx,,115967,8,10000,1475435902
59,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,21635253724
60,../data/0217918_pwtk_A.mtx,,217918,27,10000,17869958892
61,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,29969522584
62,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,36048762696
63,../data/0952203_ldoor_A.mtx,,952203,24,10000,114357073651
64,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,69129005467
65,../data/0007102_Kuu_A.mtx,,7102,24,10000,717174112
66,../data/0036000_nd12k_A.mtx,,36000,198,10000,42189305842
67,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,4804752749
68,../data/0062451_cant_A.mtx,,62451,32,10000,3945812929
69,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,649215349
70,../data/0083334_consph_A.mtx,,83334,36,10000,21293076898
71,../data/0115967_torso2_A.mtx,,115967,8,10000,7977612522
72,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,95701744359
73,../data/0217918_pwtk_A.mtx,,217918,27,10000,60256611863
74,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,67559859915
75,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,47634021355
76,../data/0952203_ldoor_A.mtx,,952203,24,10000,98712543356
77,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,25158508149
78,../data/0007102_Kuu_A.mtx,,7102,24,10000,309849511
79,../data/0036000_nd12k_A.mtx,,36000,198,10000,18678027257
80,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,3064727392
81,../data/0062451_cant_A.mtx,,62451,32,10000,2646646452
82,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,533546024
83,../data/0083334_consph_A.mtx,,83334,36,10000,4274874540
84,../data/0115967_torso2_A.mtx,,115967,8,10000,1398367334
85,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,19378687534
86,../data/0217918_pwtk_A.mtx,,217918,27,10000,14716269462
87,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,25743424959
88,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,30257219231
89,../data/0952203_ldoor_A.mtx,,952203,24,10000,89360993414
90,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,31298232658
91,../data/0007102_Kuu_A.mtx,,7102,24,10000,384108589
92,../data/0036000_nd12k_A.mtx,,36000,198,10000,27057365578
93,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,3811923954
94,../data/0062451_cant_A.mtx,,62451,32,10000,3194343674
95,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,680835895
96,../data/0083334_consph_A.mtx,,83334,36,10000,6143488215
97,../data/0115967_torso2_A.mtx,,115967,8,10000,1799993758
98,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,22143957062
99,../data/0217918_pwtk_A.mtx,,217918,27,10000,17147017583
100,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,29468889923
101,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,34734942410
102,../data/0952203_ldoor_A.mtx,,952203,24,10000,96119962890
103,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,25255555818
104,../data/0007102_Kuu_A.mtx,,7102,24,10000,331490876
105,../data/0036000_nd12k_A.mtx,,36000,198,10000,19422418652
106,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,3104512980
107,../data/0062451_cant_A.mtx,,62451,32,10000,2747120929
108,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,605189718
109,../data/0083334_consph_A.mtx,,83334,36,10000,4578574679
110,../data/0115967_torso2_A.mtx,,115967,8,10000,1561944009
111,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,22346355407
