,A,b,size,iters_cpu,ns_cpu,iters_gpu,ns_gpu,speedup
0,../data/0000027_ex5_A.mtx,../data/0000027_ex5_b.npy,27,10000,66557601,10000,326950644,0.20357079033617073
1,../data/0001050_msc01050_A.mtx,../data/0001050_msc01050_b.npy,1050,10000,88715022,10000,298909633,0.29679545991747946
2,../data/0003562_bcsstk24_A.mtx,../data/0003562_bcsstk24_b.npy,3562,10000,142667276,10000,358595846,0.39784977319564374
3,../data/0009000_nd3k_A.mtx,../data/0009000_nd3k_b.npy,9000,10000,2420316599,10000,758630681,3.190375316497383
4,../data/0010848_msc10848_A.mtx,../data/0010848_msc10848_b.npy,10848,10000,772954910,10000,532411548,1.4517996705811498
5,../data/0020360_t3dl_e_A.mtx,../data/0020360_t3dl_e_b.npy,20360,261,5252344,263,56876348,0.092346716775838
6,../data/0050000_cvxbqp1_A.mtx,../data/0050000_cvxbqp1_b.npy,50000,10000,550094981,10000,613203269,0.8970842277098168
7,../data/0081920_shallow_water2_A.mtx,../data/0081920_shallow_water2_b.npy,81920,10000,556725399,10000,851569631,0.6537638012598408
8,../data/0102158_thermomech_TC_A.mtx,../data/0102158_thermomech_TC_b.npy,102158,10000,1213469042,10000,1028138169,1.1802587225997638
9,../data/0204316_thermomech_dM_A.mtx,../data/0204316_thermomech_dM_b.npy,204316,10000,2282341958,10000,1774667038,1.2860677012247521
10,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,10000,33343138038,10000,4509285848,7.3943278740665015
11,../data/1223512_thermal2_A.mtx,../data/1223512_thermal2_b.mtx,1223512,10000,27004879812,10000,9891055990,2.73023222589199
12,../data/2911419_Bump_2911_A.mtx,../data/2911419_Bump_2911_b.npy,2911419,10000,261840096906,10000,26917320825,9.727569047763875
13,../data/4147110_Queen_4147_A.mtx,../data/4147110_Queen_4147_b.npy,4147110,10000,634416073439,10000,50428579622,12.580486664395943
